Title/H1,What is the tax type code for the alcohol you are adjusting?,Beth yw cod y math o dreth ar gyfer yr alcohol rydych chi’n ei addasu?,
Hint,The 3 digit tax type code for the under-declared alcohol,Cod 3 digid y math o dreth ar gyfer yr alcohol a danddatganwyd,
Title/H1,What is the tax type code for the newly repackaged products?,Beth yw cod y math o dreth ar gyfer y cynhyrchion sydd newydd gael eu hailbecynnu?,
Hint,A non-draught 3 digit tax type code,Cod 3 digid y math o dreth ar gyfer cynnyrch nad yw’n dod o’r gasgen,
Validation,Enter the tax type code,Nodwch god y math o dreth,
Validation,Enter a valid tax type code,Nodwch god dilys ar gyfer y math o dreth,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment tax type code (repackaged),,,
Title/H1,What is the tax type code for the alcohol you are repackaging?,Beth yw cod y math o dreth ar gyfer yr alcohol rydych chi’n ei ailbecynnu?,
Hint,The 3 digit tax type code for the under-declared alcohol,Cod 3 digid y math o dreth ar gyfer yr alcohol a danddatganwyd,
Title/H1,What is the tax type code for the newly repackaged products?,Beth yw cod y math o dreth ar gyfer y cynhyrchion sydd newydd gael eu hailbecynnu?,
Hint,A non-draught 3 digit tax type code,Cod 3 digid y math o dreth ar gyfer cynnyrch nad yw’n dod o’r gasgen,Is this the correct hint for draught products screens?
Validation,Tax type code needs to be for draught products	,Mae angen i god y math o dreth fod ar gyfer cynhyrchion o’r gasgen,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment volume,,,
Title/H1,How much do you need to adjust?,Faint y mae angen i chi ei addasu?,
Label,Total litres,Cyfanswm y litrau,
Label,Litres of pure alcohol,Litrau o alcohol pur,
Validation,Enter the total litres,Nodwch gyfanswm y litrau,
Validation,Total litres must be a number,Mae’n rhaid i gyfanswm y litrau fod yn rhif,
Validation,Total litres must be a less than 1 billion,Mae’n rhaid i gyfanswm y litrau fod yn llai nag 1 biliwn,
Validation,Total litres must be more than 0.00,Mae’n rhaid i gyfanswm y litrau fod yn fwy na 0.00,
Validation,Total litres must be a number to 2 decimal places,Mae’n rhaid i gyfanswm y litrau fod yn rhif sy’n cynnwys 2 le degol,
Validation,Total litres must be the same or more that the litres of pure alcohol,Mae’n rhaid i gyfanswm y litrau fod yr un peth â’r litrau o alcohol pur neu’n fwy na hynny,"You might like to change ""more that"" to ""more than"" in the English version."
Validation,Enter the litres of pure alcohol,Nodwch y litrau o alcohol pur,
Validation,Litres of pure alcohol must be a number,Mae’n rhaid i’r litrau o alcohol pur fod yn rhif,
Validation,Litres of pure alcohol must be less than 1 billion,Mae’n rhaid i’r litrau o alcohol pur fod yn llai nag 1 biliwn,
Validation,Litres of pure alcohol must be more than 0.0000,Mae’n rhaid i’r litrau o alcohol pur fod yn fwy na 0.0000,
Validation,Litres of pure alcohol must be a number to 4 decimal places,Mae’n rhaid i’r litrau o alcohol pur fod yn rhif sy’n cynnwys 4 lle degol,
Validation,Litres of pure alcohol must be the same or less than the total litres,Mae’n rhaid i’r litrau o alcohol pur fod yr un peth â chyfanswm y litrau neu’n llai na hynny,
Validation,Enter your Small Producer Relief duty rate,Nodwch eich cyfradd doll yn sgil Rhyddhad i Gynhyrchwyr Bach,
Validation,Your Small Producer Relief duty rate must be a number,Mae’n rhaid i’ch cyfradd doll yn Sgil Rhyddhad i Gynhyrchwyr Bach fod yn rhif,
Validation,Your Small Producer Relief duty rate must be less than £1 billion,Mae’n rhaid i’ch cyfradd doll yn sgil Rhyddhad i Gynhyrchwyr Bach fod yn llai nag £1 biliwn,
Validation,Your Small Producer Relief duty rate must be £0.00 or more,Mae’n rhaid i’ch cyfradd doll yn sgil Rhyddhad i Gynhyrchwyr Bach fod yn £0.00 neu fwy,
Validation,Your Small Producer Relief duty rate must be to 2 decimal places,Mae’n rhaid i’ch cyfradd doll yn sgil Rhyddhad i Gynhyrchwyr Bach gynnwys 2 le degol,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment duty value,,,
Title/H1,"The duty value for this adjustment is £123,456.78","Gwerth y doll ar gyfer yr addasiad hwn yw £123,456.78",
P,This is because:,Mae hyn oherwydd y canlynol:,
Numbered list item,"you declared 1,234 litres of pure alcohol (LPA)","gwnaethoch ddatgan 1,234 litr o alcohol pur (LPA)",
Numbered list item,the duty rate is £12.34 per litre of pure alcohol,y gyfradd doll yw £12.34 fesul litr o alcohol pur,
Numbered list item,"the duty is £123,456.78 (duty rate multiplied by the litres of pure alcohol)","y doll yw £123,456.78 (y gyfradd doll wedi’i lluosi â’r litrau o alcohol pur)",
Button,Continue,Parhau,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment duty value (repackaged),,,
Title/H1,"The duty value for this adjustment is £123,456.78","Gwerth y doll ar gyfer yr addasiad hwn yw £123,456.78",
P,This is because:,Mae hyn oherwydd y canlynol:,
Numbered list item,the reduced duty rate was £1.23 per litre of pure alcohol,y gyfradd doll is oedd £1.23 fesul litr o alcohol pur,
Numbered list item,"you declared 1,234 litres of pure alcohol (LPA)","gwnaethoch ddatgan 1,234 litr o alcohol pur (LPA)",
Numbered list item,"you originally paid £1,234.56","yn wreiddiol gwnaethoch chi dalu £1,234.56",
Numbered list item,repackaged draught products are not eligible for reduced rates,nid yw cynhyrchion o’r gasgen wedi’u hailbecynnu yn gymwys ar gyfer cyfraddau is,
Numbered list item,the standard duty rate is £1.23 per litre of pure alcohol,y gyfradd doll safonol yw £1.23 fesul litr o alcohol pur,
Numbered list item,"the new duty value at the standard duty rate is £1,234.56","gwerth newydd y doll ar y gyfradd doll safonol yw £1,234.56",
Numbered list,"the duty to pay is £123,456.78: the new duty value minus the old duty value","y doll i’w thalu yw £123,456.78: hynny yw, gwerth newydd y doll llai hen werth y doll",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment check your answers,,,
Caption,Adjustment from previous return,Addasiad o ddatganiad blaenorol,
Title/H1,Check your answers,Gwirio’ch atebion,
Table caption,Adjustment details,Manylion yr addasiad,
Row heading,Adjustment,Addasiad,
Value,Spoilt,Alcohol wedi’i ddifetha,
Value,Under-declared,Alcohol a danddatganwyd,
Value,Over-declared,Alcohol a orddatganwyd,
Value,Repackaged,Cynhyrchion wedi’u hailbecynnu,
Value,Drawback,Ad-daliad,
Link,Change [adjustment],Newid[ addasiad],
Row heading,Description,Disgrifiad,
Value,Beer,Cwrw,
Value,Cider,Seidr,
Value,Wine,Gwin,
Value,Spirits,Gwirodydd,
Value,Other fermented products,Cynhyrchion eplesedig eraill,
Row heading,Original return period,Cyfnod gwreiddiol y Datganiad,"We've translated this as ""Original period of the return"", but please let us know if the meaning should be ""Period of the original return"". Thank you!"
Link,Change[ original return period],Newid[ cyfnod gwreiddiol y Datganiad],
Row heading,Original tax type,Math gwreiddiol o dreth,
Link,Change[ original tax type],Newid[ math gwreiddiol o dreth],
Row heading,New tax type,Math newydd o dreth,
Link,Change[ new tax type],Newid[ math newydd o dreth],
Row heading,Volume,Cyfaint,
Suffix,litres,o litrau,
Suffix,litres of pure alcohol (LPA),o litrau o alcohol pur (LPA),
Link,Change[ volume],Newid[ cyfaint],
Row heading,Duty value,Gwerth y doll,
,,,
,,,
,,,
Adjustments table,,,
Title/H1,Adjustments from previous returns,Addasiadau o Ddatganiadau blaenorol,
Column heading,Adjustment type,Math o addasiad,
Value,Spoilt,Alcohol wedi’i ddifetha,
Value,Under-declared,Alcohol a danddatganwyd,
Value,Over-declared,Alcohol a orddatganwyd,
Value,Repackaged,Cynhyrchion wedi’u hailbecynnu,
Value,Drawback,Ad-daliad,
Column heading,Description,Disgrifiad,
Column heading,Duty value,Gwerth y doll,
Column heading,Action,Camau,
Link,Change[ adjustment],Newid[ addasiad],
Link,Remove[ adjustment],Tynnu[ addasiad],
Row heading,Total due,Cyfanswm sy’n ddyledus,
H2,Do you need to tell us about any other adjustments?,A oes angen i chi roi gwybod i ni am unrhyw addasiadau eraill?,
Radio button,Yes,Iawn,
Radio button,No,Na,
Validation,Select yes if you have another adjustment to declare,Dewiswch ‘Iawn’ os oes gennych addasiad arall i’w ddatgan,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Remove adjustment,,,
Title/H1,Remove this adjustment?,Tynnu’r addasiad hwn?,
P,The adjustment and its information will be removed from your return.,Bydd yr addasiad a’i wybodaeth yn cael eu tynnu oddi wrth eich Datganiad.,
Validation,Select yes to remove this adjustment,Dewiswch ‘Iawn’ er mwyn tynnu’r addasiad hwn,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Under-declared reason,,,
Title/H1,Why were the alcoholic products not declared until now?,Pam na chafodd y cynhyrchion alcoholaidd eu datgan tan nawr?,
Hint,You have 250 characters remaining,Mae gennych 250 o gymeriadau yn weddill,
Validation,Enter the reason why the alcoholic products were not declared until now,Nodwch y rheswm pam na chafodd y cynhyrchion alcoholaidd eu datgan tan nawr,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Over declared reason,,,
Title/H1,Why were alcoholic products over-declared?,Pam cafodd cynhyrchion alcoholaidd eu gorddatgan?,
Validation,Enter the reason why alcoholic products were over-declared?,Nodwch y rheswm pam cafodd cynhyrchion alcoholaidd eu gorddatgan,You might like to remove the question mark from the English version
