P,Your answers will not change your duty calculation.,Ni fydd eich atebion yn newid eich cyfrifiad tollau.,
Button,Continue,Parhau,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Duty suspended beer,,,
Title/H1,Tell us about your duty suspended beer,Rhoi gwybod i ni am eich cwrw y gohiriwyd tollau arno,
P,"You need to tell us about your net quantity of beer that is duty suspended, both as total litres and litres of pure alcohol (LPA).","Mae angen i chi roi gwybod i ni am swm net eich cwrw y gohiriwyd tollau arno, gan nodi cyfanswm y litrau yn ogystal â’r litrau o alcohol pur (LPA).",
H2,What is the total net quantity of this beer?,Beth yw cyfanswm net y cwrw hwn?,
Hint text,"In litres, up to 2 decimal places.","Nodwch y litrau, hyd at 2 le degol.",
H2,What is the total net quantity of pure alcohol in this beer?,Beth yw cyfanswm net yr alcohol pur yn y cwrw hwn?,
,"In litres, up to 4 decimal places","Nodwch y litrau, gan gynnwys 4 lle degol","I've translated ""to 4"" instead of ""up to 4"" for this row, because it deals with quantity of pure alcohol."
Validation,Enter the total net quantity of [beer],Nodwch gyfanswm net y [cwrw],
Validation,Total net quantity of [beer] must be a number,Mae’n rhaid i gyfanswm net y [cwrw] fod yn rhif,
Validation,Total net quantity of [beer] must be less than 1 billion litres ,Mae’n rhaid i gyfanswm net y [cwrw] fod yn llai nag 1 biliwn o litrau,
Validation,Total net quantity of [beer] must be more than −1 billion litres,Mae’n rhaid i gyfanswm net y [cwrw] fod yn fwy na −1 biliwn o litrau,
Validation,Total net quantity of [beer] must be a number up to 2 decimal places	,Mae’n rhaid i gyfanswm net y [cwrw] fod yn rhif sy’n cynnwys hyd at 2 le degol,
Validation,Enter the total net quantity of pure alcohol in [beer],Nodwch gyfanswm net yr alcohol pur yn y [cwrw],
Validation,Total net quantity of pure alcohol must be a number,Mae’n rhaid i gyfanswm net yr alcohol pur fod yn rhif,
Validation,Total net quantity of pure alcohol must be less than 1 billion litres,Mae’n rhaid i gyfanswm net yr alcohol pur fod yn llai nag 1 biliwn o litrau,
Validation,Total net quantity of pure alcohol must be more than −1 billion litres,Mae’n rhaid i gyfanswm net yr alcohol pur fod yn fwy na −1 biliwn o litrau,
Validation,Total net quantity of pure alcohol must be a number up to 4 decimal places,Mae’n rhaid i gyfanswm net yr alcohol pur fod yn rhif sy’n cynnwys 4 lle degol,"I've translated ""to 4"" instead of ""up to 4"" for this row, because it deals with quantity of pure alcohol."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Duty suspended cider,,,
H1,Tell us about your duty suspended cider,Rhoi gwybod i ni am eich seidr y gohiriwyd tollau arno,
Body copy,"You need to tell us about your net quantity of cider that is duty suspended, both as total litres and litres of pure alcohol (LPA).","Mae angen i chi roi gwybod i ni am swm net eich seidr y gohiriwyd tollau arno, gan nodi cyfanswm y litrau yn ogystal â’r litrau o alcohol pur (LPA).",
H2,What is the total net quantity of this cider?,Beth yw cyfanswm net y seidr hwn?,
H2,What is the total net quantity of pure alcohol in this cider?,Beth yw cyfanswm net yr alcohol pur yn y seidr hwn?,
Validation,Enter the total net quantity of [cider],Nodwch gyfanswm net y [seidr],
Validation,Total net quantity of [cider] must be a number,Mae’n rhaid i gyfanswm net y [seidr] fod yn rhif,
Validation,Total net quantity of [cider] must be less than 1 billion litres ,Mae’n rhaid i gyfanswm net y [seidr] fod yn llai nag 1 biliwn o litrau,
Validation,Total net quantity of [cider] must be more than −1 billion litres,Mae’n rhaid i gyfanswm net y [seidr] fod yn fwy na −1 biliwn o litrau,
Validation,Total net quantity of [cider] must be a number up to 2 decimal places	,Mae’n rhaid i gyfanswm net y [seidr] fod yn rhif sy’n cynnwys hyd at 2 le degol,
Validation,Enter the total net quantity of pure alcohol in [cider],Nodwch gyfanswm net yr alcohol pur yn y [seidr],
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Duty suspended wine,,,
H1,Tell us about your duty suspended wine,Rhoi gwybod i ni am eich gwin y gohiriwyd tollau arno,
Body copy,"You need to tell us about your net quantity of wine that is duty suspended, both as total litres and litres of pure alcohol (LPA).","Mae angen i chi roi gwybod i ni am swm net eich gwin y gohiriwyd tollau arno, gan nodi cyfanswm y litrau yn ogystal â’r litrau o alcohol pur (LPA).",
H2,What is the total net quantity of this wine?,Beth yw cyfanswm net y gwin hwn?,
H2,What is the total net quantity of pure alcohol in this wine?,Beth yw cyfanswm net yr alcohol pur yn y gwin hwn?,
Validation,Enter the total net quantity of [wine],Nodwch gyfanswm net y [gwin],
Validation,Total net quantity of [wine] must be a number,Mae’n rhaid i gyfanswm net y [gwin] fod yn rhif,
Validation,Total net quantity of [wine] must be less than 1 billion litres ,Mae’n rhaid i gyfanswm net y [gwin] fod yn llai nag 1 biliwn o litrau,
Validation,Total net quantity of [wine] must be more than −1 billion litres,Mae’n rhaid i gyfanswm net y [gwin] fod yn fwy na −1 biliwn o litrau,
Validation,Total net quantity of [wine] must be a number up to 2 decimal places,Mae’n rhaid i gyfanswm net y [gwin] fod yn rhif sy’n cynnwys hyd at 2 le degol,
Validation,Enter the total net quantity of pure alcohol in [wine],Nodwch gyfanswm net yr alcohol pur yn y [gwin],
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Duty suspended spirits,,,
H1,Tell us about your duty suspended spirits,Rhoi gwybod i ni am eich gwirodydd y gohiriwyd tollau arnynt,
Body copy,"You need to tell us about your net quantity of spirits that is duty suspended, both as total litres and litres of pure alcohol (LPA).","Mae angen i chi roi gwybod i ni am swm net eich gwirodydd y gohiriwyd tollau arnynt, gan nodi cyfanswm y litrau yn ogystal â’r litrau o alcohol pur (LPA).",
H2,What is the total net quantity of these spirits?,Beth yw cyfanswm net y gwirodydd hyn?,
H2,What is the total net quantity of pure alcohol in these spirits?,Beth yw cyfanswm net yr alcohol pur yn y gwirodydd hyn?,
Validation,Enter the total net quantity of [spirits],Nodwch gyfanswm net y [gwirodydd],
Validation,Total net quantity of [spirits] must be a number,Mae’n rhaid i gyfanswm net y [gwirodydd] fod yn rhif,
Validation,Total net quantity of [spirits] must be less than 1 billion litres ,Mae’n rhaid i gyfanswm net y [gwirodydd] fod yn llai nag 1 biliwn o litrau,
Validation,Total net quantity of [spirits] must be more than −1 billion litres,Mae’n rhaid i gyfanswm net y [gwirodydd] fod yn fwy na −1 biliwn o litrau,
Validation,Total net quantity of [spirits] must be a number up to 2 decimal places,Mae’n rhaid i gyfanswm net y [gwirodydd] fod yn rhif sy’n cynnwys hyd at 2 le degol,
Validation,Enter the total net quantity of pure alcohol in [spirits],Nodwch gyfanswm net yr alcohol pur yn y [gwirodydd],
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Duty suspended other fermented products,,,
H1,Tell us about your other fermented products with duty suspended,Rhoi gwybod i ni am eich cynhyrchion eplesedig eraill y gohiriwyd tollau arnynt,
H2,"You need to tell us about your net quantity of other fermented products that is duty suspended, both as total litres and litres of pure alcohol (LPA).","Mae angen i chi roi gwybod i ni am swm net eich cynhyrchion eplesedig eraill y gohiriwyd tollau arnynt, gan nodi cyfanswm y litrau yn ogystal â’r litrau o alcohol pur (LPA).",
H2,What is the total net quantity of these other fermented products?,Beth yw cyfanswm net y cynhyrchion eplesedig eraill hyn?,
H2,What is the total net quantity of pure alcohol in these other fermented products?,Beth yw cyfanswm net yr alcohol pur yn y cynhyrchion eplesedig eraill hyn?,
Validation,Enter the total net quantity of [other fermented products],Nodwch gyfanswm net y [cynhyrchion eplesedig eraill],
Validation,Total net quantity of [other fermented products] must be a number,Mae’n rhaid i gyfanswm net y [cynhyrchion eplesedig eraill] fod yn rhif,
Validation,Total net quantity of [other fermented products] must be less than 1 billion litres ,Mae’n rhaid i gyfanswm net y [cynhyrchion eplesedig eraill] fod yn llai nag 1 biliwn o litrau,
Validation,Total net quantity of [other fermented products] must be more than −1 billion litres,Mae’n rhaid i gyfanswm net y [cynhyrchion eplesedig eraill] fod yn fwy na −1 biliwn o litrau,
Validation,Total net quantity of [other fermented products] must be a number up to 2 decimal places,Mae’n rhaid i gyfanswm net y [cynhyrchion eplesedig eraill] fod yn rhif sy’n cynnwys hyd at 2 le degol,
Validation,Enter the total net quantity of pure alcohol in [other fermented products],Nodwch gyfanswm net yr alcohol pur yn y [cynhyrchion eplesedig eraill],
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Check your answers,,,
Title/H1,Check your answers,Gwirio’ch atebion,
Table caption,Duty suspended deliveries,Dosbarthiadau y gohiriwyd tollau arnynt,
Row heading,Total net quantity of duty suspended beer,Cyfanswm net y cwrw y gohiriwyd tollau arno,
Row heading,Total net quantity of pure alcohol in this beer,Cyfanswm net yr alcohol pur yn y cwrw hwn,
Row heading,Total net quantity of duty suspended cider,Cyfanswm net y seidr y gohiriwyd tollau arno,
Row heading,Total net quantity of pure alcohol in this cider,Cyfanswm net yr alcohol pur yn y seidr hwn,
Row heading,Total net quantity of duty suspended wine,Cyfanswm net y gwin y gohiriwyd tollau arno,
Row heading,Total net quantity of pure alcohol in this wine,Cyfanswm net yr alcohol pur yn y gwin hwn,
Row heading,Total net quantity of duty suspended spirits,Cyfanswm net y gwirodydd y gohiriwyd tollau arnynt,
Row heading,Total net quantity of pure alcohol in these spirits,Cyfanswm net yr alcohol pur yn y gwirodydd hyn,
Row heading,Total net quantity of duty suspended other fermented products,Cyfanswm net y cynhyrchion eplesedig eraill y gohiriwyd tollau arnynt,
Row heading,Total net quantity of pure alcohol in these other fermented products,Cyfanswm net yr alcohol pur yn y cynhyrchion eplesedig eraill hyn,
Link,Change[ total net quantity of duty suspended beer],Newid[ cyfanswm net y cwrw y gohiriwyd tollau arno],
Link,Change[ total net quantity of pure alcohol in this beer],Newid[ cyfanswm net yr alcohol pur yn y cwrw hwn],
Link,Change[ total net quantity of duty suspended cider],Newid[ cyfanswm net y seidr y gohiriwyd tollau arno],
Link,Change[ total net quantity of pure alcohol in this cider],Newid[ cyfanswm net yr alcohol pur yn y seidr hwn],
Link,Change[ total net quantity of duty suspended wine],Newid[ cyfanswm net y gwin y gohiriwyd tollau arno],
Link,Change[ total net quantity of pure alcohol in this wine],Newid[ cyfanswm net yr alcohol pur yn y gwin hwn],
Link,Change[ total net quantity of duty suspended spirits],Newid[ cyfanswm net y gwirodydd y gohiriwyd tollau arnynt],
Link,Change[ total net quantity of pure alcohol in this spirits],Newid[ cyfanswm net yr alcohol pur yn y gwirodydd hyn],"We have translated ""in these spirits"", instead of ""in this spirits""."
Link,Change[ total net quantity of duty suspended other fermented products],Newid[ cyfanswm net y cynhyrchion eplesedig eraill y gohiriwyd tollau arnynt],
Link,Change[ total net quantity of pure alcohol in this other fermented products],Newid[ cyfanswm net yr alcohol pur yn y cynhyrchion eplesedig eraill hyn],"We have translated ""in these other fermented products"", instead of ""in this other fermented products""."
Button,Continue,Parhau,
